name;left_x;top_y;new_widht;new_height
pano_0000_000025_033.jpg;173;145;268;353
pano_0000_000026_028.jpg;613;200;703;332
pano_0000_000027_028.jpg;402;237;490;333
pano_0000_000028_028.jpg;286;251;359;318
pano_0000_000029_028.jpg;209;259;274;313
pano_0000_000030_028.jpg;154;264;204;315
pano_0000_000031_028.jpg;109;272;157;311
pano_0000_000032_028.jpg;79;277;118;316
pano_0000_000033_028.jpg;52;274;86;309
pano_0000_000034_028.jpg;36;269;63;300
pano_0000_000035_028.jpg;16;270;45;296
pano_0000_000036_028.jpg;6;270;27;292
pano_0000_000037_023.jpg;823;271;831;297
pano_0000_000037_028.jpg;0;273;14;295
pano_0000_000038_028.jpg;0;272;7;289
pano_0000_000038_023.jpg;815;269;831;295
pano_0000_000039_023.jpg;803;274;823;293
pano_0000_000040_023.jpg;797;279;814;298
pano_0000_000041_023.jpg;789;282;807;302
pano_0000_000042_023.jpg;784;283;797;299
pano_0000_000043_023.jpg;780;284;795;300
pano_0000_000044_023.jpg;774;285;790;300
pano_0000_000083_003.jpg;111;314;130;331
pano_0000_000084_003.jpg;118;312;140;329
pano_0000_000085_003.jpg;128;311;148;328
pano_0000_000086_003.jpg;139;310;159;327
pano_0000_000087_003.jpg;149;311;170;331
pano_0000_000088_003.jpg;158;312;179;332
pano_0000_000089_003.jpg;164;310;185;333
pano_0000_000090_003.jpg;172;310;193;332
pano_0000_000091_003.jpg;178;308;204;331
pano_0000_000092_003.jpg;188;307;214;334
pano_0000_000093_003.jpg;203;303;237;334
pano_0000_000094_003.jpg;223;302;259;334
pano_0000_000095_003.jpg;249;304;286;340
pano_0000_000096_003.jpg;280;299;320;338
pano_0000_000097_003.jpg;320;296;370;341
pano_0000_000098_003.jpg;374;290;431;341
pano_0000_000099_003.jpg;448;280;517;346
pano_0000_000100_003.jpg;551;261;637;345
pano_0000_000101_003.jpg;721;247;808;347
pano_0000_000102_008.jpg;151;212;269;358
pano_0000_000103_008.jpg;607;175;691;350
pano_0000_000216_003.jpg;288;334;304;351
pano_0000_000218_003.jpg;310;335;328;353
pano_0000_000219_003.jpg;324;341;343;359
pano_0000_000220_003.jpg;341;344;359;363
pano_0000_000221_003.jpg;360;349;378;367
