XML_name;left_x;top_y;new_widht;new_height
XMLpano_0000_000025_033.jpg;172;160;269;337
XMLpano_0000_000026_028.jpg;614;202;704;322
XMLpano_0000_000027_028.jpg;405;232;489;329
XMLpano_0000_000028_028.jpg;288;243;358;320
XMLpano_0000_000029_028.jpg;211;256;271;319
XMLpano_0000_000030_028.jpg;154;263;204;317
XMLpano_0000_000031_028.jpg;111;269;157;313
XMLpano_0000_000032_028.jpg;78;274;118;315
XMLpano_0000_000033_028.jpg;51;274;87;310
XMLpano_0000_000034_028.jpg;31;268;64;301
XMLpano_0000_000035_028.jpg;16;269;47;299
XMLpano_0000_000036_028.jpg;4;269;28;294
XMLpano_0000_000037_023.jpg;823;271;832;294
XMLpano_0000_000037_028.jpg;1;270;14;292
XMLpano_0000_000038_028.jpg;1;271;4;281
XMLpano_0000_000038_023.jpg;811;269;832;291
XMLpano_0000_000039_023.jpg;804;273;825;293
XMLpano_0000_000040_023.jpg;797;279;816;298
XMLpano_0000_000041_023.jpg;790;283;808;299
XMLpano_0000_000042_023.jpg;784;283;799;299
XMLpano_0000_000043_023.jpg;780;284;796;299
XMLpano_0000_000044_023.jpg;776;285;791;299
XMLpano_0000_000083_003.jpg;111;315;129;332
XMLpano_0000_000084_003.jpg;119;313;138;331
XMLpano_0000_000085_003.jpg;128;311;148;329
XMLpano_0000_000086_003.jpg;139;310;159;328
XMLpano_0000_000087_003.jpg;149;311;170;330
XMLpano_0000_000088_003.jpg;157;312;178;331
XMLpano_0000_000089_003.jpg;164;311;186;332
XMLpano_0000_000090_003.jpg;171;309;193;331
XMLpano_0000_000091_003.jpg;178;307;204;331
XMLpano_0000_000092_003.jpg;188;308;215;335
XMLpano_0000_000093_003.jpg;203;305;234;334
XMLpano_0000_000094_003.jpg;220;303;257;337
XMLpano_0000_000095_003.jpg;246;304;284;340
XMLpano_0000_000096_003.jpg;277;299;321;339
XMLpano_0000_000097_003.jpg;320;296;369;341
XMLpano_0000_000098_003.jpg;374;288;430;342
XMLpano_0000_000099_003.jpg;447;279;514;343
XMLpano_0000_000100_003.jpg;554;266;633;344
XMLpano_0000_000101_003.jpg;717;248;811;348
XMLpano_0000_000102_008.jpg;154;218;261;351
XMLpano_0000_000103_008.jpg;609;176;694;351
XMLpano_0000_000216_003.jpg;288;334;303;349
XMLpano_0000_000218_003.jpg;313;336;327;352
XMLpano_0000_000219_003.jpg;325;341;341;357
XMLpano_0000_000220_003.jpg;343;346;358;363
XMLpano_0000_000221_003.jpg;361;348;377;367
XMLpano_0000_000222_003.jpg;383;355;400;374
XMLpano_0000_000223_003.jpg;408;358;427;379
XMLpano_0000_000224_003.jpg;435;361;456;384
XMLpano_0000_000225_003.jpg;473;360;493;385
XMLpano_0000_000226_003.jpg;515;358;536;383
XMLpano_0000_000227_003.jpg;563;361;584;390
XMLpano_0000_000228_003.jpg;620;349;643;381
XMLpano_0000_000229_003.jpg;683;339;706;373
XMLpano_0000_000230_003.jpg;749;324;772;362
XMLpano_0000_000231_003.jpg;796;326;819;368
XMLpano_0000_000232_003.jpg;724;318;747;365
XMLpano_0000_000233_003.jpg;450;303;471;356
XMLpano_0000_000234_003.jpg;38;283;63;345
XMLpano_0000_000235_048.jpg;64;261;97;341
XMLpano_0000_000236_043.jpg;326;234;380;333
XMLpano_0000_000237_038.jpg;512;219;598;336
XMLpano_0000_000238_033.jpg;704;236;821;354
XMLpano_0000_000239_033.jpg;242;252;355;355
